year,month,period,naics,kind_of_business,measure,adjustment,value,preliminary
2000,5,2000-05,4522,Department stores,inv_sales_ratio,nsa,2.2,False
2000,6,2000-06,4522,Department stores,inv_sales_ratio,nsa,2.24,False
2000,7,2000-07,4522,Department stores,inv_sales_ratio,nsa,2.34,False
2000,8,2000-08,4522,Department stores,inv_sales_ratio,nsa,2.24,False
2000,9,2000-09,4522,Department stores,inv_sales_ratio,nsa,2.61,False
2000,10,2000-10,4522,Department stores,inv_sales_ratio,nsa,2.79,False
2000,11,2000-11,4522,Department stores,inv_sales_ratio,nsa,2.19,False
2000,12,2000-12,4522,Department stores,inv_sales_ratio,nsa,1.15,False
2001,1,2001-01,4522,Department stores,inv_sales_ratio,nsa,2.59,False
2001,2,2001-02,4522,Department stores,inv_sales_ratio,nsa,2.65,False
2001,3,2001-03,4522,Department stores,inv_sales_ratio,nsa,2.44,False
2001,4,2001-04,4522,Department stores,inv_sales_ratio,nsa,2.31,False
2001,5,2001-05,4522,Department stores,inv_sales_ratio,nsa,2.23,False
2001,6,2001-06,4522,Department stores,inv_sales_ratio,nsa,2.24,False
2001,7,2001-07,4522,Department stores,inv_sales_ratio,nsa,2.33,False
2001,8,2001-08,4522,Department stores,inv_sales_ratio,nsa,2.18,False
2001,9,2001-09,4522,Department stores,inv_sales_ratio,nsa,2.69,False
2001,10,2001-10,4522,Department stores,inv_sales_ratio,nsa,2.74,False
2001,11,2001-11,4522,Department stores,inv_sales_ratio,nsa,2.16,False
2001,12,2001-12,4522,Department stores,inv_sales_ratio,nsa,1.14,False
2002,1,2002-01,4522,Department stores,inv_sales_ratio,nsa,2.48,False
2002,2,2002-02,4522,Department stores,inv_sales_ratio,nsa,2.46,False
2002,3,2002-03,4522,Department stores,inv_sales_ratio,nsa,2.12,False
2002,4,2002-04,4522,Department stores,inv_sales_ratio,nsa,2.19,False
2002,5,2002-05,4522,Department stores,inv_sales_ratio,nsa,2.03,False
2002,6,2002-06,4522,Department stores,inv_sales_ratio,nsa,2.08,False
2002,7,2002-07,4522,Department stores,inv_sales_ratio,nsa,2.25,False
2002,8,2002-08,4522,Department stores,inv_sales_ratio,nsa,2.08,False
2002,9,2002-09,4522,Department stores,inv_sales_ratio,nsa,2.6,False
2002,10,2002-10,4522,Department stores,inv_sales_ratio,nsa,2.57,False
2002,11,2002-11,4522,Department stores,inv_sales_ratio,nsa,2.24,False
2002,12,2002-12,4522,Department stores,inv_sales_ratio,nsa,1.16,False
2003,1,2003-01,4522,Department stores,inv_sales_ratio,nsa,2.51,False
2003,2,2003-02,4522,Department stores,inv_sales_ratio,nsa,2.48,False
2003,3,2003-03,4522,Department stores,inv_sales_ratio,nsa,2.27,False
2003,4,2003-04,4522,Department stores,inv_sales_ratio,nsa,2.3,False
2003,5,2003-05,4522,Department stores,inv_sales_ratio,nsa,2.08,False
2003,6,2003-06,4522,Department stores,inv_sales_ratio,nsa,2.13,False
2003,7,2003-07,4522,Department stores,inv_sales_ratio,nsa,2.18,False
2003,8,2003-08,4522,Department stores,inv_sales_ratio,nsa,2.0,False
2003,9,2003-09,4522,Department stores,inv_sales_ratio,nsa,2.55,False
2003,10,2003-10,4522,Department stores,inv_sales_ratio,nsa,2.55,False
2003,11,2003-11,4522,Department stores,inv_sales_ratio,nsa,2.16,False
2003,12,2003-12,4522,Department stores,inv_sales_ratio,nsa,1.11,False
2004,1,2004-01,4522,Department stores,inv_sales_ratio,nsa,2.4,False
2004,2,2004-02,4522,Department stores,inv_sales_ratio,nsa,2.28,False
2004,3,2004-03,4522,Department stores,inv_sales_ratio,nsa,2.2,False
2004,4,2004-04,4522,Department stores,inv_sales_ratio,nsa,2.17,False
2004,5,2004-05,4522,Department stores,inv_sales_ratio,nsa,2.04,False
2004,6,2004-06,4522,Department stores,inv_sales_ratio,nsa,2.13,False
2004,7,2004-07,4522,Department stores,inv_sales_ratio,nsa,2.13,False
2004,8,2004-08,4522,Department stores,inv_sales_ratio,nsa,2.11,False
2004,9,2004-09,4522,Department stores,inv_sales_ratio,nsa,2.45,False
2004,10,2004-10,4522,Department stores,inv_sales_ratio,nsa,2.5,False
2004,11,2004-11,4522,Department stores,inv_sales_ratio,nsa,2.18,False
2004,12,2004-12,4522,Department stores,inv_sales_ratio,nsa,1.09,False
2005,1,2005-01,4522,Department stores,inv_sales_ratio,nsa,2.42,False
2005,2,2005-02,4522,Department stores,inv_sales_ratio,nsa,2.35,False
2005,3,2005-03,4522,Department stores,inv_sales_ratio,nsa,2.26,False
2005,4,2005-04,4522,Department stores,inv_sales_ratio,nsa,2.21,False
2005,5,2005-05,4522,Department stores,inv_sales_ratio,nsa,2.12,False
2005,6,2005-06,4522,Department stores,inv_sales_ratio,nsa,2.05,False
